painting,paintingLabel,depicted,depictedLabel,common,inception,countryLabel,iso
http://www.wikidata.org/entity/Q81723909,Still Life with Lobster on a White Tablecloth,http://www.wikidata.org/entity/Q132397,pitcher,,1853-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q87480810,Tulips,http://www.wikidata.org/entity/Q30345409,tulip,,1914-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q87742758,Strawberries,http://www.wikidata.org/entity/Q745,strawberries,strawberry,,France,FRA
http://www.wikidata.org/entity/Q84707700,The Mantelpiece,http://www.wikidata.org/entity/Q4327778,fireplace mantel,,1905-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92389321,Bread and Wine,http://www.wikidata.org/entity/Q7802,bread,,1975-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q90563978,"Quince, Cabbage, Melon, and Cucumber",http://www.wikidata.org/entity/Q5881191,melon,,1602-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q88022417,Flower Piece,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q92385479,Still Life,http://www.wikidata.org/entity/Q851782,tableware,,1958-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q93201260,Still Life,http://www.wikidata.org/entity/Q2413314,jug,,1960-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q40080,beach,,1972-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q84243255,"Still Life with Flowers, Fruits, a Parrot and a Monkey",http://www.wikidata.org/entity/Q3314483,fruit,,1695-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92389321,Bread and Wine,http://www.wikidata.org/entity/Q152,fish,,1975-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q15507066,Juncus rigidus,Rush,1972-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q84707700,The Mantelpiece,http://www.wikidata.org/entity/Q80228,bottle,,1905-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92389321,Bread and Wine,http://www.wikidata.org/entity/Q1531435,wine glass,,1975-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q84986895,The Marquis’s Lunch,http://www.wikidata.org/entity/Q201097,basket,,1913-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q88218307,Fruit and Flowers,http://www.wikidata.org/entity/Q3314483,fruit,,1866-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q22731,stone,,1972-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q81723909,Still Life with Lobster on a White Tablecloth,http://www.wikidata.org/entity/Q536168,tablecloth,,1853-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q81333598,Still Life: Flowers in a Vase,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q92389267,Memory of the Summer,http://www.wikidata.org/entity/Q1576780,cut flowers,,1971-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q88855727,Still life with fruit and flowers,http://www.wikidata.org/entity/Q10978,grape,,,France,FRA
http://www.wikidata.org/entity/Q83947007,Still Life with Flowers,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q283,water,,1972-01-01T00:00:00Z,Finland,FIN
